,year,,value
15,2018,PyTorch/Lightning/Fast.ai,30.024509803921568
5,2018,Xgboost/LightGBM/CatBoost,58.8235294117647
10,2018,TensorFlow/Keras,70.95588235294117
0,2018,Scikit-learn,88.11274509803921
16,2019,PyTorch/Lightning/Fast.ai,26.86804451510334
6,2019,Xgboost/LightGBM/CatBoost,53.10015898251192
11,2019,TensorFlow/Keras,55.007949125596184
1,2019,Scikit-learn,81.24006359300476
17,2020,PyTorch/Lightning/Fast.ai,29.775280898876403
12,2020,TensorFlow/Keras,53.93258426966292
7,2020,Xgboost/LightGBM/CatBoost,55.056179775280896
2,2020,Scikit-learn,79.49438202247191
18,2021,PyTorch/Lightning/Fast.ai,35.26448362720403
13,2021,TensorFlow/Keras,54.15617128463476
8,2021,Xgboost/LightGBM/CatBoost,60.957178841309826
3,2021,Scikit-learn,86.90176322418137
19,2022,PyTorch/Lightning/Fast.ai,39.002932551319645
14,2022,TensorFlow/Keras,48.68035190615836
9,2022,Xgboost/LightGBM/CatBoost,62.75659824046921
4,2022,Scikit-learn,88.26979472140762
