,0
None,0.0
IBM Db2 ,3.755868544600939
Amazon DynamoDB ,6.572769953051643
Google Cloud SQL ,8.92018779342723
Other,8.92018779342723
Oracle Database ,10.7981220657277
Microsoft Azure SQL Database ,11.737089201877934
MongoDB ,12.67605633802817
Amazon RDS ,16.431924882629108
Google Cloud BigQuery ,19.248826291079812
Amazon Redshift ,20.657276995305164
SQLite ,23.474178403755868
Microsoft SQL Server ,25.821596244131456
Snowflake ,28.169014084507044
MySQL ,34.74178403755869
PostgreSQL ,37.08920187793427
