For how many years have you been writing code and/or programming?,percentage,year,
I have never written code,0.2,2018,I have never written code
< 1 years,3.4,2018,< 1 years
20+ years,5.9,2018,20+ years
,12.4,2018,
10-20 years,15.3,2018,10-20 years
1-3 years,17.8,2018,1-3 years
5-10 years,26.2,2018,5-10 years
3-5 years,31.0,2018,3-5 years
I have never written code,0.3,2019,I have never written code
< 1 years,1.5,2019,< 1 years
1-3 years,9.6,2019,1-3 years
20+ years,11.7,2019,20+ years
,16.0,2019,
10-20 years,20.0,2019,10-20 years
5-10 years,28.0,2019,5-10 years
3-5 years,28.8,2019,3-5 years
,0.3,2020,
I have never written code,0.5,2020,I have never written code
< 1 years,0.8,2020,< 1 years
1-3 years,7.0,2020,1-3 years
20+ years,17.5,2020,20+ years
10-20 years,19.6,2020,10-20 years
3-5 years,25.3,2020,3-5 years
5-10 years,29.4,2020,5-10 years
I have never written code,0.7,2021,I have never written code
< 1 years,4.3,2021,< 1 years
1-3 years,11.8,2021,1-3 years
3-5 years,15.0,2021,3-5 years
20+ years,16.3,2021,20+ years
10-20 years,24.5,2021,10-20 years
5-10 years,27.4,2021,5-10 years
I have never written code,0.3,2022,I have never written code
< 1 years,2.8,2022,< 1 years
1-3 years,9.0,2022,1-3 years
3-5 years,15.3,2022,3-5 years
20+ years,18.9,2022,20+ years
10-20 years,21.8,2022,10-20 years
5-10 years,31.9,2022,5-10 years
